Role,Text
Student,you like how its like
Student,its like youre obsessed with 
Student,and this one
Student,no
Student,i dont like summary 
Student,okay
Student,is this how you write 
Student,e t t
Student,the teacher left lets make a mess
Student,did a rooster stand on your head did a rooster stand on your head
Student,what
Student,did a rooster stand on your head
Student,yes
Student,all of us have a double letter look suzette benny marissa look double s double n and double z and now we just need 
Student,but anyways your name is judith
Student,its with t h right
Student,judith
Student,judeth
Student,do you know how to spell my name
Student,oh judith
Student,look focus on these 
Student,why
Student,oh yes oh yes it says  look
Student,suzette just kidding a rooster stood on this ones head look he has the head and then the hair and the eyes
Student,yes i dont know its because you look weird because you always have the hair like that
Student,me
Student,not me
Student,we learned how to read digital numbers right
Student,what happened to g
Student,so can i sleep
Student,greater
Student,greater
Student,lower
Student,greater
Student,off
Student,greater
Student,off
Student,off
Student,on
Student,on
Student,never mind off
Student,on
Student,uhh
Student,i do play but no
Student,im not a goalkeeper
Student,forward
Student,i dont remember who
Student,we made two
Student,no
Student,did you win
Student,i think i got it
Student, i didnt set it up
Student,oh she knows how to do it
Student,nice
Student,hey
Student,him first
Student,no him first he was the one that understood last so him first
Student,are they these
Student,what are they i dont remember
Student,oh
Student,it goes to a certain number than it starts going to the letter
Student,mhmm
Student,okay so
Student,yes
Student,okay so you have
Student,name
Student,unintelligible
Student,zero
Student,a three
Student,one three
Student,one ten thousand ten thousand ten hundred times plus
Student,the point
Student,okay yeah i can survive so hit enter and put the command green and now the parentisis so what would we like to print so the answer right what is the answer there
Student,to give the answer
Student,what are we gonna do now
Student,multiplying
Student,okay so x means 6 so we have to multiply x by 2 which gives you 12 and then we have to add 3 and that gives you 15
Student,yeah
Student,it gives us a higher number
Student,this would be nine
Student,right
Student,nine
Student,this right
Student,was it
Student,and also these ones right
Student,subtract
Student,divide by what was it five
Student,ten
Student,okay think of a number 
Student,what is your answer
Student,okay divide by 2 was it suppose to say
Student,unintelligible phrase
Student,six
Student,first
Student,divide it by 2 cause 3 times 2
Student,six
Student,subtraction
Student,what
Student,should we do it
Student,ten
Student,wait
Student,no 2
Student,and then 3
Student,part 4
Student,that is her
Student,like potato
Student,oh like pizza
Student,oh yeah
Student,wait do i erase that
Student,yeah what is your and then favorite food mmm take off the cap and then the question mark so i think this took a long time on this one i struggle on that
Student,yeah and then do i do this
Student,yes
Student,where
Student,i have to put the two lines at the time
Student,like this
Student,and that one
Student,this one
Student,with name
Student,you have a number right
Student,no
Student,give me a number and then multiply by 2
Student,okay
Student,enter
Student,so i type the number
Student,no enter and then type the number
Student,up 
Student,i did not see
Student,its printing it again
Student,its printing it again
Student,so 1
Student,and then is doing it again and is 11
Student,maybe because there is three prints
Student,one number one run the code below and see what happens two compare results here with the previous cell three which variables do you see in the loop four how do the variables change loop
Student,unintelligible
Student,cause its three
Student,nine
Student,mm 10
Student,unintelligible
Student,it doesnt appear
Student,b
Student,run the code below and see what happens compare the result with the previous statement which variables control the loop
Student,two
Student,i just did it
Student,okay
Student,yeah put that one
Student,me
Student,im suppose to think about it right
Student,what time does the bus from today comes
Student,okay what do we have to write
Student,okay yeah
Student,how many thoughts
Student,did you finish
Student,give me the board 
Student,and the keyboard too
Student,you only want that
Student,where do i put this
Student,ehm
Student,which one do you have none
Student,yes i have games on the phone and on xbox
Student,i have a lot of them in and here i have them i have them in a folder
Student,why dont you buy a playstation 4 or an xbox
Student,what thing
Student,since since last year well since since two years ago
Student,well i have already had an xbox its like ten ten years old
Student,ah
Student,no but since i was five
Student,do you want me to trade it with you
Student,you dont want to
Student,to not do anything
Student,on the next one i will ah
Student,bad bunny
Student,since last year
Student,dont get it you are not supposed to
Student,and what happened to michael jordan what happened to michael jordan
Student,of what basketball
Student,neither did andres
Student,hey give it cabo 20
Student,the facilitator
Student,there it says there
Student,lets do three point
Student,is it this one
Student,another comment
Student,he went to mexico to fight with other people
Student,he went to mexico to fight with others
Student,what is this
Student,ehm 
Student,in any of these
Student,do you have to bring it down
Student,do you have to over it a little more over there
Student,but why do you have to put it in this one
Student,is it this one
Student,this one
Student,enter enter
Student,eh go up a little
Student,i only have to bring it up one
Student,and you dont have to do it twice
Student,enter
Student,ah because then it goes there and it wont be able to keep going
Student,hehehe
Student,the games thing
Student,okay
Student,with the
Student,ah
Student,are in there let me grab them for you
Student,four and
Student,put eight eight of these
Student,ehm 
Student,because it makes the eighty
Student,take this one out
Student,and one of these put them here
Student,from these
Student,we just have a few left
Student,so here it is put the number that is here
Student,hey and what are these for
Student,what thing
Co-Facilitator,but i want it im going to see if i can get a black folder and then paint like a skull
Co-Facilitator,i like it like that
Co-Facilitator,what are you doing
Co-Facilitator,this is the program that we did last time
Co-Facilitator, you want to switch here you go benny
Co-Facilitator,yes its final i have made my final decision
Co-Facilitator,do it
Co-Facilitator,the power of terror ahorita viene el maestro porque tiene clases
Co-Facilitator,no its a z instead of an s look s u z is it  wait let me see
Co-Facilitator,i knew there was a double letter there it is so okay
Co-Facilitator,hello hello 
Co-Facilitator,you wrote it wrong
Co-Facilitator,okay hit the power button suzette under it the first button
Co-Facilitator,what
Co-Facilitator,judith
Co-Facilitator,judith j u d
Co-Facilitator,yes judith
Co-Facilitator,okay i want to go over what we learned last session so we can do the last one who wasnt here last session
Co-Facilitator,you okay
Co-Facilitator,hello
Co-Facilitator,yes
Co-Facilitator,yes im just getting 
Co-Facilitator,yes
Co-Facilitator,we were on 4 right
Co-Facilitator,okay can someone tell me what we learned last session
Co-Facilitator,can someone explain to suzette what happened
Co-Facilitator,okay so last lesson we learned how to do binary numbers okay as in zero and one okay the we also learned how to convert binary into hexadecimal hexadecimal is how you get the color of a thing right any of them black brown white green red like that those colors okay so on this table we actually learned how to convert them im gonna yeah im gonna show you a few examples okay okay then after that we did  okay then after that um then here its showing how the hexadecimal table works okay it starts from zero so the hexadecimal is from zero to nine and it starts going a b c d e f it only goes up to f then it stops okay so zero to f then in decimal numbers its zero to fifteen right
Co-Facilitator,okay  come sit over here so i can show you a few examples
Co-Facilitator,its against the law to kill your students
Co-Facilitator,im gonna since suzette wasnt here the last session im gonna go through a few examples with her
Co-Facilitator,we already did it
Co-Facilitator,yeah were just on the final one im just catching suzette up
Co-Facilitator,were gonna do  okay so so pick any number pick any number from 1 to 50
Co-Facilitator,10 okay so 10 right so you how do you represent it in the decimal number as in with the little blocks
Co-Facilitator,just one block of ten right  so right here you know how it goes two to the power of zero is one right two to the power of one is two two power two is four 2 to the power of 3 is 8 2 to the power of 4 is 16 and 2 to the power of 5 is 32 right its basically saying like since this is 2 times 1 you only put 2 ones then one so its two times one then here its two to the power of two right so its two times two the two to the power of three is two times two times two them two to the power of four is two times two times two times two them two to the power of five is two times two times two times two times two then it goes on and on and on right so right now i feel like sneezing okay so right now im gonna show you how to convert 10 into binary right
Co-Facilitator,okay so right now is 32 less or greater than 10
Co-Facilitator,so you turn it off since youll go over  is 16 greater or less than 10
Co-Facilitator,right so you also turn it off is 8 greater or lower than 10
Co-Facilitator,so you turn it on okay then 8 plus 4
Co-Facilitator,is it greater or less than 10
Co-Facilitator,so you turn it off and then 8 plus 2
Co-Facilitator,so you turn it on right 10 plus 1
Co-Facilitator,so you turn it on or off
